name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Fussell Michael,M,1927–1974,1927,1974,"Southampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/michael-fussell-1135
Fyzee-Rahamin Samuel,M,1880–1964,1880,1964,"Pune, Bharat","Karachi, Pakistan",http://www.tate.org.uk/art/artists/samuel-fyzee-rahamin-1136
Gaba Meschac,M,born 1961,1961,1977,"Cotonou, Bénin",Unknown,http://www.tate.org.uk/art/artists/meschac-gaba-8313
Gabie Neville,M,born 1959,1959,1977,"Johannesburg, South Africa",Unknown,http://www.tate.org.uk/art/artists/neville-gabie-2790
Gabo Naum,M,1890–1977,1890,1977,"Klimovichi, Belarus","Waterbury, United States",http://www.tate.org.uk/art/artists/naum-gabo-1137
Gainsborough Thomas,M,1727–1788,1727,1788,"Sudbury, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-gainsborough-199
Gale William,M,1823–1909,1823,1909,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-gale-200
Gallaccio Anya,F,born 1963,1963,1957,"Glasgow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anya-gallaccio-2658
Gallagher Ellen,F,born 1965,1965,1957,"Providence, United States",Unknown,http://www.tate.org.uk/art/artists/ellen-gallagher-9553
Gamarra Sandra,F,born 1972,1972,1957,"Lima, Perú",Unknown,http://www.tate.org.uk/art/artists/sandra-gamarra-11460
Gander Ryan,M,born 1976,1976,1957,"Chester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ryan-gander-9102
Garaicoa Carlos,M,born 1967,1967,1957,"La Habana, Cuba",Unknown,http://www.tate.org.uk/art/artists/carlos-garaicoa-6876
Garbe Richard,M,1876–1957,1876,1957,"Hackney, United Kingdom","Westscott, United Kingdom",http://www.tate.org.uk/art/artists/richard-garbe-1139
Garcia Torres Mario,M,born 1975,1975,1960,"Monclova, México",Unknown,http://www.tate.org.uk/art/artists/mario-garcia-torres-10370
Gardiner Clive,M,1891–1960,1891,1960,"Blackburn, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/clive-gardiner-1140
Gardner Daniel,M,1750–1805,1750,1805,"Kendal, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/daniel-gardner-201
Garet Jedd,M,born 1955,1955,1826,"Los Angeles, United States",Unknown,http://www.tate.org.uk/art/artists/jedd-garet-1141
Garrard George,M,1760–1826,1760,1826,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-garrard-202
Garstin Norman,M,1847–1926,1847,1926,"Clare, Éire","Penzance, United Kingdom",http://www.tate.org.uk/art/artists/norman-garstin-203
Gascoyne David,M,1916–2001,1916,2001,"Harrow, United Kingdom","Newport, United Kingdom",http://www.tate.org.uk/art/artists/david-gascoyne-1142
Gaskell Anna,F,born 1969,1969,1876,"Iowa, United States",Unknown,http://www.tate.org.uk/art/artists/anna-gaskell-2696
Gastineau Henry,M,1791–1876,1791,1876,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/henry-gastineau-204
Gaudier-Brzeska Henri,M,1891–1915,1891,1915,"Saint-Jean-de-Braye, France","Pas-de-Calais, France",http://www.tate.org.uk/art/artists/henri-gaudier-brzeska-1143
Gauguin Paul,M,1848–1903,1848,1903,"Paris, France",Atuona,http://www.tate.org.uk/art/artists/paul-gauguin-1144
Gauld Peter,M,1925 –1989,1925,1989,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-gauld-1145
Gear William,M,1915–1997,1915,1997,"Methil, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-gear-1146
Geddes Andrew,M,1783–1844,1783,1844,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/andrew-geddes-205
Geden Dennis,M,born 1944,1944,1994,"North Bay, Canada",Unknown,http://www.tate.org.uk/art/artists/dennis-geden-1147
Gego (Gertrud Goldschmidt),F,1912–1994,1912,1994,"Hamburg, Deutschland","Caracas, Venezuela",http://www.tate.org.uk/art/artists/gego-gertrud-goldschmidt-11852
Geikie Walter,M,1795–1837,1795,1837,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/walter-geikie-2428
Gennari Benedetto,M,1633–1715,1633,1715,"Cento, Italia","Bologna, Italia",http://www.tate.org.uk/art/artists/benedetto-gennari-2352
Gent G.W.,M,exhibited 1804–1822,1804,1822,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gw-gent-2552
Gentleman David,M,born 1930,1930,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-gentleman-1148
Gentleman Tom,M,1882–1966,1882,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/tom-gentleman-1149
Genzken Isa,F,born 1948,1948,1957,"Bad Oldesloe, Deutschland",Unknown,http://www.tate.org.uk/art/artists/isa-genzken-10435
Geoffrey Iqbal,M,born 1939,1939,1957,"Chiniot, Pakistan",Unknown,http://www.tate.org.uk/art/artists/iqbal-geoffrey-1150
George Patrick,M,born 1923,1923,1957,"Manchester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/patrick-george-1151
George Thomas,M,born 1918,1918,1957,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/thomas-george-1152
Gere Charles M.,M,1869–1957,1869,1957,"Gloucester, United Kingdom","Gloucester, United Kingdom",http://www.tate.org.uk/art/artists/charles-m-gere-1153
Gere Margaret,F,1878–1965,1878,1965,"Warwickshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/margaret-gere-1154
Gerrard A.H.,M,1899–1998,1899,1998,"Hartford, United Kingdom","Kent, United Kingdom",http://www.tate.org.uk/art/artists/ah-gerrard-1155
Gerrard Kathleen,F,1894–1970,1894,1970,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kathleen-gerrard-2290
Gersht Ori,M,born 1967,1967,1939,"Tel Aviv, Mehoz, Yisra'el",Unknown,http://www.tate.org.uk/art/artists/ori-gersht-4643
Gershuni Moshe,M,born 1936,1936,1939,"Tel Aviv, Mehoz, Yisra'el",Unknown,http://www.tate.org.uk/art/artists/moshe-gershuni-2781
Gertler Mark,M,1891–1939,1891,1939,"Spitalfields, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/mark-gertler-1156
Gethin Percy Francis,M,1874–1916,1874,1916,"Sligo, Éire",Unknown,http://www.tate.org.uk/art/artists/percy-francis-gethin-1157
Gheeraerts Marcus II,M,1561 or 2–1636,1561,1636,"Brugge, België","London, United Kingdom",http://www.tate.org.uk/art/artists/marcus-gheeraerts-ii-206
Ghika Nicolas,M,1906–1994,1906,1994,"Athínai, Ellás","Athínai, Ellás",http://www.tate.org.uk/art/artists/nicolas-ghika-1158
Giacometti Alberto,M,1901–1966,1901,1966,"Borgonovo Val Tidone, Italia","Genève, Schweiz",http://www.tate.org.uk/art/artists/alberto-giacometti-1159
Giardelli Arthur,M,1911–2009,1911,2009,"London, United Kingdom","Haverfordwest, United Kingdom",http://www.tate.org.uk/art/artists/arthur-giardelli-1160
Gibb Phelan,M,1870–1948,1870,1948,"Alnwick, United Kingdom","Buckinghamshire, United Kingdom",http://www.tate.org.uk/art/artists/phelan-gibb-1161
Gibbons John,M,born 1949,1949,1991,Éire,Unknown,http://www.tate.org.uk/art/artists/john-gibbons-2218
Gibbs Evelyn,F,1905 – 1991,1905,1991,"Liverpool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/evelyn-gibbs-1162
Gibbs Ewan,M,born 1973,1973,1713,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ewan-gibbs-2737
Gibbs Henry,M,1631–1713,1631,1713,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/henry-gibbs-2329
Gibson John,M,1790–1866,1790,1866,"Wales, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-gibson-207
Gidal Tim,M,1909–1996,1909,1996,"München, Deutschland","Yerushalayim, Yisra'el",http://www.tate.org.uk/art/artists/tim-gidal-13199
Gilbert & George,M,"born 1943, born 1942",1942,1925,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gilbert-george-1163
Gilbert Charles Web,M,1867–1925,1867,1925,"Victoria, Australia",Melbourne,http://www.tate.org.uk/art/artists/charles-web-gilbert-1164
Gilbert Sir Alfred,M,1854–1934,1854,1934,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-alfred-gilbert-208
Gilbert Sir John,M,1817–1897,1817,1897,"Blackheath, United Kingdom","Blackheath, United Kingdom",http://www.tate.org.uk/art/artists/sir-john-gilbert-209
Gilbert Stephen,M,1910–2007,1910,2007,"Fife, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/stephen-gilbert-1165
Gilioli Emile,M,1911–1977,1911,1977,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/emile-gilioli-1166
Gill Charles,M,1742–after 1828,1742,1829,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-gill-210
Gill Colin,M,1892–1940,1892,1940,"Kent, United Kingdom","Johannesburg, South Africa",http://www.tate.org.uk/art/artists/colin-gill-1167
Gill Eric,M,1882–1940,1882,1940,"Brighton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/eric-gill-1168
Gill Macdonald,M,1884–1947,1884,1947,"Brighton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/macdonald-gill-1169
Gill Simryn,F,born 1959,1959,1973,Singapore,Unknown,http://www.tate.org.uk/art/artists/simryn-gill-9404
Gilliam Sam,M,born 1933,1933,1973,"Tupelo, United States",Unknown,http://www.tate.org.uk/art/artists/sam-gilliam-1170
Gillick Liam,M,born 1964,1964,1973,"Aylesbury, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/liam-gillick-2592
Gillies Sir William,M,1898–1973,1898,1973,"Haddington, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sir-william-gillies-1171
Gillray James,M,1757–1815,1757,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-gillray-2739
Gilman Harold,M,1876–1919,1876,1919,"Somerset, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/harold-gilman-1172
Gilpin Rev. William,M,1724–1804,1724,1804,"London, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/rev-william-gilpin-2496
Gilpin Sawrey,M,1733–1807,1733,1807,"Carlisle, United Kingdom","Greater London, United Kingdom",http://www.tate.org.uk/art/artists/sawrey-gilpin-2578
Ginesi Edna,F,1902–2000,1902,2000,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/edna-ginesi-1173
Ginger Phyllis,F,1907–2005,1907,2005,"Surrey, United Kingdom","Kew, United Kingdom",http://www.tate.org.uk/art/artists/phyllis-ginger-1174
Ginner Charles,M,1878–1952,1878,1952,"Cannes, France","London, United Kingdom",http://www.tate.org.uk/art/artists/charles-ginner-1175
Giobbi Edward,M,born 1926,1926,1802,"Waterbury, United States",Unknown,http://www.tate.org.uk/art/artists/edward-giobbi-1176
Girtin Thomas,M,1775–1802,1775,1802,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-girtin-211
Gleichen Feodora,F,1861–1922,1861,1922,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/feodora-gleichen-1177
Gleizes Albert,M,1881–1953,1881,1953,"Paris, France","Avignon, France",http://www.tate.org.uk/art/artists/albert-gleizes-1178
Glendening Alfred,M,1861–1907,1861,1907,"Kent, United Kingdom","Essex, United Kingdom",http://www.tate.org.uk/art/artists/alfred-glendening-1179
Glover John,M,1767–1849,1767,1849,"Leicestershire, United Kingdom","Launceston, Australia",http://www.tate.org.uk/art/artists/john-glover-212
Gober Robert,M,born 1954,1954,1894,"Wallingford, United States",Unknown,http://www.tate.org.uk/art/artists/robert-gober-2309
Goeneutte Norbert,M,1854–1894,1854,1894,"Paris, France","Auvers-sur-Oise, France",http://www.tate.org.uk/art/artists/norbert-goeneutte-1181
Goeritz Mathias,M,1915–1990,1915,1990,"Gdansk, Polska","Ciudad de México, México",http://www.tate.org.uk/art/artists/mathias-goeritz-15613
Gogh Vincent van,M,1853–1890,1853,1890,"Zundert, Nederland","Auvers-sur-Oise, France",http://www.tate.org.uk/art/artists/vincent-van-gogh-1182
Goldblatt David,M,born 1930,1930,1993,"Randfontein, South Africa",Unknown,http://www.tate.org.uk/art/artists/david-goldblatt-6558
Golden Grace,F,1904–1993,1904,1993,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/grace-golden-1183
Goldin Nan,F,born 1953,1953,2012,"Washington, United States",Unknown,http://www.tate.org.uk/art/artists/nan-goldin-2649
Golding John,M,1929–2012,1929,2012,"Hastings, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-golding-1184
Goldschmidt Hilde,F,1897–1980,1897,1980,"Leipzig, Deutschland","Kitzbühel, Österreich",http://www.tate.org.uk/art/artists/hilde-goldschmidt-1185
Goldstein Jack,M,1945–2003,1945,2003,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jack-goldstein-13568
Goldsworthy Andy,M,born 1956,1956,2004,"Cheshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/andy-goldsworthy-7274
Golub Leon,M,1922–2004,1922,2004,"Chicago, United States",Unknown,http://www.tate.org.uk/art/artists/leon-golub-2207
Gomes Fernanda,F,born 1960,1960,1962,"Rio de Janeiro, Brasil",Unknown,http://www.tate.org.uk/art/artists/fernanda-gomes-11698
Goncharova Natalya,F,1881–1962,1881,1962,"Tula, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/natalya-goncharova-1186
Gonzalez Beatriz,F,born 1938,1938,1908,"Bucaramanga, Colombia",Unknown,http://www.tate.org.uk/art/artists/beatriz-gonzalez-11980
González Joan,M,1868–1908,1868,1908,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/joan-gonzalez-1187
González Julio,M,1876–1942,1876,1942,"Barcelona, España",Unknown,http://www.tate.org.uk/art/artists/julio-gonzalez-1188
Gonzalez-Foerster Dominique,F,born 1965,1965,1996,"Strasbourg, France",Unknown,http://www.tate.org.uk/art/artists/dominique-gonzalez-foerster-10354
Gonzalez-Torres Felix,M,1957–1996,1957,1996,"Guáimaro, Cuba","Miami, United States",http://www.tate.org.uk/art/artists/felix-gonzalez-torres-11937
Good Thomas Sword,M,1789–1872,1789,1872,"Berwick-upon-Tweed, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-sword-good-213
Goodall Edward Angelo,M,1819–1908,1819,1908,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-angelo-goodall-2429
Goodall Frederick,M,1822–1904,1822,1904,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frederick-goodall-214
Goodwin Albert,M,1845–1932,1845,1932,"England, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/albert-goodwin-215
Goodwin Dryden,M,born 1971,1971,1991,"Bournemouth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/dryden-goodwin-10750
Gordine Dora,F,1895–1991,1895,1991,"Sankt-Peterburg, Rossiya",Unknown,http://www.tate.org.uk/art/artists/dora-gordine-1189
Gordon Julia Emily,F,1810–1896,1810,1896,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/julia-emily-gordon-2579
Gordon Lady,F,1775–1867,1775,1867,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/lady-gordon-nee-julia-isabella-levina-bennet-2577
Gordon Douglas,M,born 1966,1966,1864,"Glasgow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/douglas-gordon-2617
Gordon Sir John Watson,M,1788–1864,1788,1864,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-john-watson-gordon-216
Gore Charles,M,1729–1807,1729,1807,"Lincolnshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-gore-2497
Gore Spencer,M,1878–1914,1878,1914,Epsom,"Surrey, United Kingdom",http://www.tate.org.uk/art/artists/spencer-gore-1190
Gorky Arshile,M,c.1904–1948,1904,1948,Armenia,"Sherman, United States",http://www.tate.org.uk/art/artists/arshile-gorky-1191
Gormley Antony,M,born 1950,1950,1968,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/antony-gormley-1192
Gosse Sylvia,F,1881–1968,1881,1968,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sylvia-gosse-1193
Gotch Thomas Cooper,M,1854–1931,1854,1931,"Kettering, United Kingdom","Newlyn, United Kingdom",http://www.tate.org.uk/art/artists/thomas-cooper-gotch-217
Gotlib Henryk,M,1890–1966,1890,1966,"Kraków, Polska","Godstone, United Kingdom",http://www.tate.org.uk/art/artists/henryk-gotlib-1194
Gottlieb Adolph,M,1903–1974,1903,1974,"New York, United States","East Hampton, United States",http://www.tate.org.uk/art/artists/adolph-gottlieb-1195
Götz Professor Karl-Otto,M,born 1914,1914,1920,"Aachen, Deutschland",Unknown,http://www.tate.org.uk/art/artists/karl-otto-gotz-2203
Gouk Alan,M,born 1939,1939,1920,"Belfast, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alan-gouk-1196
Gow Andrew Carrick,M,1848–1920,1848,1920,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/andrew-carrick-gow-218
Gow Mary,F,1851–1929,1851,1929,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/mary-gow-219
Gower George,M,c.1540–1596,1540,1596,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-gower-220
Gowing Sir Lawrence,M,1918–1991,1918,1991,"Stoke Newington, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sir-lawrence-gowing-1197
Graeser Camille,M,1892 – 1980,1918,1980,"Genève, Schweiz","Zürich, Schweiz",http://www.tate.org.uk/art/artists/camille-graeser-1198
Graevenitz Gerhard von,M,1934–1983,1934,1983,Deutschland,Schweiz,http://www.tate.org.uk/art/artists/gerhard-von-graevenitz-1199
Graham Dan,M,born 1942,1942,1921,"Urbana, United States",Unknown,http://www.tate.org.uk/art/artists/dan-graham-1200
Graham Paul,M,born 1956,1956,1921,"Stafford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/paul-graham-2337
Graham Peter,M,1836–1921,1836,1921,"Edinburgh, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-graham-221
Graham Rodney,M,born 1949,1949,1997,"Abbotsford, Canada",Unknown,http://www.tate.org.uk/art/artists/rodney-graham-7810
Grand Roger,M,born 1922,1922,1997,"Maine, United States",Unknown,http://www.tate.org.uk/art/artists/roger-grand-1201
Grant Alistair,M,1925–1997,1925,1997,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alistair-grant-1202
Grant Duncan,M,1885–1978,1885,1978,"Scotland, United Kingdom","Aldermaston, United Kingdom",http://www.tate.org.uk/art/artists/duncan-grant-1203
Grant Sir Francis,M,1803–1878,1803,1878,"Edinburgh, United Kingdom","Leicestershire, United Kingdom",http://www.tate.org.uk/art/artists/sir-francis-grant-2281
